DIA,MES,HR,TEMP
26,8,68.33,31.81
26,8,66,31.81
26,8,65.6,31.81
26,8,83.67,31.81
26,8,96.57,31.81
26,8,106.38,31.81
26,8,113.89,31.81
26,8,111.1,31.81
26,8,108.82,31.81
26,8,106.83,31.81
26,8,105.23,31.83
26,8,103.86,31.83
26,8,102.67,31.83
26,8,101.69,31.83
26,8,100.82,31.83
26,8,100.06,31.83
26,8,99.32,31.83
26,8,98.6,31.83
26,8,97.9,31.83
26,8,97.23,31.83
26,8,96.61,31.83
26,8,96.08,31.83
26,8,95.48,31.83
26,8,94.92,31.83
26,8,94.41,31.83
26,8,93.96,31.83
26,8,93.52,31.83
26,8,93.03,31.83
26,8,92.58,31.83
26,8,92.09,31.83
26,8,91.52,31.83
26,8,90.94,31.83
26,8,90.46,31.83
26,8,90,31.83
26,8,89.59,31.85
26,8,89.21,31.85
26,8,88.77,31.85
26,8,88.38,31.85
26,8,88.02,31.83
26,8,87.93,31.83
26,8,87.84,31.83
26,8,87.75,31.83
26,8,87.64,31.81
26,8,87.54,31.81
26,8,87.43,31.81
26,8,87.29,31.81
26,8,87.16,31.85
26,8,87.04,31.85
26,8,86.92,31.85
26,8,86.79,31.85
26,8,86.68,31.85
26,8,86.59,31.85
26,8,86.55,31.85
26,8,86.54,31.85
26,8,86.54,31.83
26,8,86.59,31.83
26,8,86.64,31.83
26,8,86.7,31.83
26,8,87.13,31.85
26,8,87.68,31.85
26,8,87.75,31.85
26,8,88.23,31.85
26,8,88.62,31.85
26,8,87.15,31.85
26,8,85.68,31.85
26,8,84.2,31.85
26,8,82.75,31.85
26,8,82.77,31.85
26,8,82.82,31.85
26,8,82.87,31.85
26,8,82.92,31.87
26,8,82.95,31.87
26,8,82.97,31.87
26,8,82.97,31.87
26,8,82.97,31.85
26,8,82.95,31.85
26,8,82.9,31.85
26,8,82.88,31.85
26,8,82.9,31.87
26,8,82.95,31.87
26,8,83.02,31.87
26,8,83.08,31.87
26,8,83.18,31.85
26,8,83.25,31.85
26,8,83.32,31.85
26,8,83.37,31.85
26,8,83.43,31.87
26,8,83.5,31.87
26,8,83.55,31.87
26,8,83.58,31.87
26,8,83.68,31.89
26,8,83.78,31.89
26,8,83.85,31.89
26,8,83.92,31.89
26,8,83.97,31.85
26,8,84.05,31.85
26,8,84.17,31.85
26,8,84.3,31.85
26,8,84.43,31.87
26,8,84.37,31.87
26,8,84.25,31.87
26,8,84.1,31.87
26,8,84.18,31.87
26,8,84.53,31.87
26,8,84.92,31.87
26,8,85.3,31.87
26,8,85.7,31.87
26,8,86.1,31.87
26,8,86.52,31.87
26,8,86.93,31.87
26,8,87.37,31.89
26,8,87.8,31.89
26,8,88.18,31.89
26,8,88.55,31.89
26,8,88.92,31.91
26,8,89.18,31.91
26,8,89.42,31.91
26,8,89.6,31.91
26,8,89.83,31.89
26,8,90.12,31.89
26,8,90.4,31.89
26,8,90.77,31.89
26,8,91.18,31.89
26,8,91.62,31.89
26,8,92.1,31.89
26,8,92.53,31.89
26,8,92.98,31.93
26,8,93.42,31.93
26,8,93.87,31.93
26,8,94.38,31.93
26,8,94.85,31.91
26,8,95.37,31.91
26,8,95.87,31.91
26,8,95.97,31.91
26,8,96.07,31.93
26,8,96.18,31.93
26,8,96.35,31.93
26,8,96.5,31.93
26,8,96.48,31.93
26,8,96.47,31.93
26,8,96.43,31.93
26,8,96.38,31.93
26,8,96.35,31.95
26,8,96.33,31.95
26,8,96.32,31.95
26,8,96.3,31.95
26,8,96.27,31.91
26,8,96.27,31.91
26,8,96.28,31.91
26,8,96.33,31.91
26,8,96.4,31.95
26,8,96.47,31.95
26,8,96.55,31.95
26,8,96.63,31.95
26,8,96.72,31.91
26,8,96.78,31.91
26,8,96.88,31.91
26,8,96.97,31.91
26,8,97.03,31.93
26,8,97.13,31.93
26,8,97.28,31.93
26,8,97.45,31.93
26,8,97.4,31.93
26,8,97.07,31.93
26,8,96.7,31.93
26,8,96.35,31.93
26,8,96,31.93
26,8,95.67,31.93
26,8,95.33,31.93
26,8,95.05,31.93
26,8,94.77,31.93
26,8,94.47,31.93
26,8,94.2,31.93
26,8,93.9,31.93
26,8,93.58,31.93
26,8,93.28,31.93
26,8,92.97,31.93
26,8,92.67,31.93
26,8,92.32,31.95
26,8,91.93,31.95
26,8,91.55,31.95
26,8,91.12,31.95
26,8,90.65,31.93
26,8,90.18,31.93
26,8,89.65,31.93
26,8,89.15,31.93
26,8,88.62,31.93
26,8,88.1,31.93
26,8,87.55,31.93
26,8,86.95,31.93
26,8,86.42,31.95
26,8,85.87,31.95
26,8,85.38,31.95
26,8,85.3,31.95
26,8,85.23,31.95
26,8,85.17,31.95
26,8,85.1,31.95
26,8,85.03,31.95
26,8,85.12,31.95
26,8,85.17,31.95
26,8,85.2,31.95
26,8,85.23,31.95
26,8,85.25,31.95
26,8,85.28,31.95
26,8,85.32,31.95
26,8,85.38,31.95
26,8,85.47,31.95
26,8,85.57,31.95
26,8,85.67,31.95
26,8,85.78,31.95
26,8,85.88,31.95
26,8,85.98,31.95
26,8,86.07,31.95
26,8,86.15,31.95
26,8,86.2,31.95
26,8,86.23,31.95
26,8,86.23,31.95
26,8,86.2,31.95
26,8,86.15,31.97
26,8,86.1,31.97
26,8,86.05,31.97
26,8,86,31.97
26,8,85.95,31.95
26,8,85.92,31.95
26,8,85.88,31.95
26,8,85.85,31.95
26,8,85.82,31.99
26,8,85.78,31.99
26,8,85.75,31.99
26,8,85.68,31.99
26,8,85.58,31.97
26,8,85.48,31.97
26,8,85.37,31.97
26,8,85.27,31.97
26,8,85.17,31.97
26,8,85.12,31.97
26,8,85.1,31.97
26,8,85.12,31.97
26,8,85.13,31.97
26,8,85.18,31.97
26,8,85.25,31.97
26,8,85.32,31.97
26,8,85.38,31.99
26,8,85.45,31.99
26,8,85.53,31.99
26,8,85.62,31.99
26,8,85.67,31.99
26,8,85.68,31.99
26,8,85.67,31.99
26,8,85.63,31.99
26,8,85.55,31.99
26,8,85.45,31.99
26,8,85.32,31.99
26,8,85.2,31.99
26,8,85.07,31.99
26,8,84.95,31.99
26,8,84.83,31.99
26,8,84.72,31.99
26,8,84.6,31.99
26,8,84.5,31.99
26,8,84.42,31.99
26,8,84.32,31.99
26,8,84.25,31.97
26,8,84.18,31.97
26,8,84.12,31.97
26,8,84.02,31.97
26,8,83.92,32
26,8,83.8,32
26,8,83.68,32
26,8,83.58,32
26,8,83.48,31.99
26,8,83.4,31.99
26,8,83.33,31.99
26,8,83.28,31.99
26,8,83.27,32
26,8,83.25,32
26,8,83.25,32
26,8,83.27,32
26,8,83.28,31.99
26,8,83.3,31.99
26,8,83.32,31.99
26,8,83.33,31.99
26,8,83.35,31.99
26,8,83.37,31.99
26,8,83.4,31.99
26,8,83.42,31.99
26,8,83.42,32
26,8,83.42,32
26,8,83.4,32
26,8,83.38,32
26,8,83.38,32.03
26,8,83.38,32.03
26,8,83.4,32.03
26,8,83.42,32.03
26,8,83.45,32.03
26,8,83.48,32.03
26,8,83.52,32.03
26,8,83.55,32.03
26,8,83.58,32.03
26,8,83.58,32.03
26,8,83.57,32.03
26,8,83.53,32.03
26,8,83.5,32.03
26,8,83.45,32.03
26,8,83.4,32.03
26,8,83.37,32.03
26,8,83.35,32.05
26,8,83.35,32.05
26,8,83.37,32.05
26,8,83.4,32.05
26,8,83.45,32.05
26,8,83.5,32.05
26,8,83.53,32.05
26,8,83.57,32.05
26,8,83.6,32.07
26,8,83.63,32.07
26,8,83.67,32.07
26,8,83.7,32.07
26,8,83.72,32.07
26,8,83.73,32.07
26,8,83.75,32.07
26,8,83.78,32.07
26,8,83.8,32.05
26,8,83.82,32.05
26,8,83.82,32.05
26,8,83.82,32.05
26,8,83.8,32.05
26,8,83.78,32.05
26,8,83.77,32.05
26,8,83.73,32.05
26,8,83.7,32.07
26,8,83.67,32.07
26,8,83.62,32.07
26,8,83.55,32.07
26,8,83.48,32.05
26,8,83.42,32.05
26,8,83.35,32.05
26,8,83.28,32.05
26,8,83.25,32.07
26,8,83.22,32.07
26,8,83.18,32.07
26,8,83.17,32.07
26,8,83.15,32.07
26,8,83.13,32.07
26,8,83.1,32.07
26,8,83.08,32.07
26,8,83.07,32.07
26,8,83.03,32.07
26,8,83,32.07
26,8,82.98,32.07
26,8,82.95,32.09
26,8,82.92,32.09
26,8,82.87,32.09
26,8,82.82,32.09
26,8,82.75,32.09
26,8,82.67,32.09
26,8,82.6,32.09
26,8,82.53,32.09
26,8,82.47,32.07
26,8,82.4,32.07
26,8,82.33,32.07
26,8,82.27,32.07
26,8,82.2,32.07
26,8,82.13,32.07
26,8,82.07,32.07
26,8,82,32.07
26,8,81.95,32.09
26,8,81.92,32.09
26,8,81.9,32.09
26,8,81.88,32.09
26,8,81.87,32.07
26,8,81.85,32.07
26,8,81.87,32.07
26,8,81.87,32.07
26,8,81.85,32.09
26,8,81.82,32.09
26,8,81.77,32.09
26,8,81.7,32.09
26,8,81.65,32.11
26,8,81.6,32.11
26,8,81.57,32.11
26,8,81.55,32.11
26,8,81.53,32.11
26,8,81.47,32.11
26,8,81.42,32.11
26,8,81.38,32.11
26,8,81.38,32.09
26,8,81.38,32.09
26,8,81.32,32.09
26,8,81.3,32.09
26,8,81.28,32.11
26,8,81.32,32.11
26,8,81.42,32.11
26,8,81.53,32.11
26,8,81.65,32.09
26,8,81.78,32.09
26,8,81.92,32.09
26,8,82.05,32.09
26,8,82.15,32.11
26,8,82.25,32.11
26,8,82.35,32.11
26,8,82.43,32.11
26,8,82.52,32.09
26,8,82.58,32.09
26,8,82.63,32.09
26,8,82.68,32.09
26,8,82.7,32.11
26,8,82.7,32.11
26,8,82.7,32.11
26,8,82.67,32.11
26,8,82.63,32.13
26,8,82.58,32.13
26,8,82.55,32.13
26,8,82.5,32.13
26,8,82.45,32.11
26,8,82.42,32.11
26,8,82.37,32.11
26,8,82.33,32.11
26,8,82.3,32.11
26,8,82.28,32.11
26,8,82.27,32.11
26,8,82.23,32.11
26,8,82.18,32.13
26,8,82.17,32.13
26,8,82.15,32.13
26,8,82.13,32.13
26,8,82.12,32.13
26,8,82.08,32.13
26,8,82.03,32.13
26,8,81.97,32.13
26,8,81.92,32.15
26,8,81.88,32.15
26,8,81.85,32.15
26,8,81.82,32.15
26,8,81.8,32.16
26,8,81.8,32.16
26,8,81.8,32.16
26,8,81.82,32.16
26,8,81.83,32.16
26,8,81.83,32.16
26,8,81.82,32.16
26,8,81.78,32.16
26,8,81.75,32.15
26,8,81.75,32.15
26,8,81.75,32.15
26,8,81.73,32.15
26,8,81.7,32.15
26,8,81.67,32.15
26,8,81.7,32.15
26,8,81.67,32.15
26,8,81.63,32.18
26,8,81.57,32.18
26,8,81.45,32.18
26,8,81.33,32.18
26,8,81.22,32.18
26,8,81.08,32.18
26,8,80.95,32.18
26,8,80.8,32.18
26,8,80.68,32.16
