DIA,MES,HR,TEMP
27,8,89.88,34.15
27,8,90.13,34.15
27,8,90.5,34.15
27,8,90.87,34.15
27,8,91.22,34.15
27,8,91.57,34.15
27,8,91.95,34.16
27,8,92.33,34.16
27,8,92.7,34.16
27,8,93.05,34.16
27,8,93.38,34.15
27,8,93.65,34.15
27,8,93.87,34.15
27,8,94.05,34.15
27,8,94.22,34.15
27,8,94.35,34.15
27,8,94.47,34.15
27,8,94.58,34.15
27,8,94.73,34.16
27,8,94.9,34.16
27,8,95.08,34.16
27,8,95.3,34.16
27,8,95.55,34.16
27,8,95.8,34.16
27,8,96.07,34.16
27,8,96.33,34.16
27,8,96.62,34.16
27,8,96.9,34.16
27,8,97.18,34.16
27,8,97.48,34.16
27,8,97.75,34.16
27,8,97.98,34.16
27,8,98.17,34.16
27,8,98.4,34.16
27,8,98.62,34.16
27,8,98.78,34.16
27,8,98.88,34.16
27,8,98.97,34.16
27,8,99.03,34.16
27,8,99.1,34.16
27,8,99.13,34.16
27,8,99.25,34.16
27,8,99.27,34.15
27,8,99.28,34.15
27,8,99.3,34.15
27,8,99.32,34.15
27,8,99.37,34.15
27,8,99.43,34.15
27,8,99.32,34.15
27,8,99.23,34.15
27,8,99.17,34.15
27,8,99.1,34.15
27,8,99.05,34.15
27,8,99,34.15
27,8,99,34.15
27,8,99,34.15
27,8,98.97,34.15
27,8,98.95,34.15
27,8,98.93,34.18
27,8,98.95,34.18
27,8,98.98,34.18
27,8,99.03,34.18
27,8,98.97,34.15
27,8,98.88,34.15
27,8,98.78,34.15
27,8,98.65,34.15
27,8,98.48,34.16
27,8,98.3,34.16
27,8,98.1,34.16
27,8,97.92,34.16
27,8,97.75,34.16
27,8,97.62,34.16
27,8,97.55,34.16
27,8,97.5,34.16
27,8,97.47,34.16
27,8,97.47,34.16
27,8,97.47,34.16
27,8,97.43,34.16
27,8,97.38,34.13
27,8,97.3,34.13
27,8,97.18,34.13
27,8,97.03,34.13
27,8,96.87,34.15
27,8,96.68,34.15
27,8,96.5,34.15
27,8,96.32,34.15
27,8,96.13,34.16
27,8,95.95,34.16
27,8,95.78,34.16
27,8,95.62,34.16
27,8,95.47,34.16
27,8,95.35,34.16
27,8,95.25,34.16
27,8,95.18,34.16
27,8,95.12,34.16
27,8,95.07,34.16
27,8,95.02,34.16
27,8,94.98,34.16
27,8,94.95,34.15
27,8,94.92,34.15
27,8,94.88,34.15
27,8,94.85,34.15
27,8,94.83,34.15
27,8,94.83,34.15
27,8,94.83,34.15
27,8,94.85,34.15
27,8,94.87,34.16
27,8,94.88,34.16
27,8,94.92,34.16
27,8,94.95,34.16
27,8,94.97,34.18
27,8,94.98,34.18
27,8,94.98,34.18
27,8,94.98,34.18
27,8,94.97,34.15
27,8,94.93,34.15
27,8,94.9,34.15
27,8,94.83,34.15
27,8,94.75,34.13
27,8,94.67,34.13
27,8,94.57,34.13
27,8,94.47,34.13
27,8,94.37,34.15
27,8,94.28,34.15
27,8,94.2,34.15
27,8,94.13,34.15
27,8,94.07,34.15
27,8,94.02,34.15
27,8,93.97,34.15
27,8,93.92,34.15
27,8,93.88,34.15
27,8,93.85,34.15
27,8,93.82,34.15
27,8,93.78,34.15
27,8,93.75,34.13
27,8,93.7,34.13
27,8,93.67,34.13
27,8,93.65,34.13
27,8,93.63,34.16
27,8,93.62,34.16
27,8,93.62,34.16
27,8,93.62,34.16
27,8,93.63,34.15
27,8,93.65,34.15
27,8,93.67,34.15
27,8,93.68,34.15
27,8,93.68,34.15
27,8,93.67,34.15
27,8,93.65,34.15
27,8,93.62,34.15
27,8,93.57,34.16
27,8,93.48,34.16
27,8,93.4,34.16
27,8,93.32,34.16
27,8,93.25,34.15
27,8,93.18,34.15
27,8,93.13,34.15
27,8,93.08,34.15
27,8,93.05,34.15
27,8,93.02,34.15
27,8,93,34.15
27,8,92.98,34.15
27,8,92.97,34.15
27,8,92.93,34.15
27,8,92.9,34.15
27,8,92.85,34.15
27,8,92.82,34.16
27,8,92.78,34.16
27,8,92.75,34.16
27,8,92.72,34.16
27,8,92.7,34.16
27,8,92.68,34.16
27,8,92.65,34.16
27,8,92.6,34.16
27,8,92.55,34.15
27,8,92.48,34.15
27,8,92.43,34.15
27,8,92.38,34.15
27,8,92.33,34.15
27,8,92.27,34.15
27,8,92.2,34.15
27,8,92.13,34.15
27,8,92.07,34.15
27,8,92,34.15
27,8,91.93,34.15
27,8,91.88,34.15
27,8,91.85,34.15
27,8,91.82,34.15
27,8,91.8,34.15
27,8,91.8,34.15
27,8,91.78,34.15
27,8,91.78,34.15
27,8,91.77,34.15
27,8,91.77,34.15
27,8,91.77,34.15
27,8,91.77,34.15
27,8,91.75,34.15
27,8,91.73,34.15
27,8,91.72,34.16
27,8,91.68,34.16
27,8,91.65,34.16
27,8,91.6,34.16
27,8,91.53,34.16
27,8,91.47,34.16
27,8,91.4,34.16
27,8,91.33,34.16
27,8,91.28,34.16
27,8,91.25,34.16
27,8,91.22,34.16
27,8,91.22,34.16
27,8,91.23,34.16
27,8,91.27,34.16
27,8,91.3,34.16
27,8,91.33,34.16
27,8,91.37,34.16
27,8,91.4,34.16
27,8,91.43,34.16
27,8,91.48,34.16
27,8,91.53,34.16
27,8,91.58,34.16
27,8,91.63,34.16
27,8,91.68,34.16
27,8,91.73,34.16
27,8,91.78,34.16
27,8,91.83,34.16
27,8,91.87,34.16
27,8,91.88,34.15
27,8,91.88,34.15
27,8,91.83,34.15
27,8,91.77,34.15
27,8,91.68,34.16
27,8,91.58,34.16
27,8,91.5,34.16
27,8,91.43,34.16
27,8,91.37,34.15
27,8,91.33,34.15
27,8,91.3,34.15
27,8,91.27,34.15
27,8,91.25,34.15
27,8,91.23,34.15
27,8,91.22,34.15
27,8,91.2,34.15
27,8,91.2,34.16
27,8,91.2,34.16
27,8,91.22,34.16
27,8,91.23,34.16
27,8,91.25,34.16
27,8,91.27,34.16
27,8,91.27,34.16
27,8,91.25,34.16
27,8,91.23,34.15
27,8,91.18,34.15
27,8,91.15,34.15
27,8,91.08,34.15
27,8,91.03,34.15
27,8,90.98,34.15
27,8,90.93,34.15
27,8,90.9,34.15
27,8,90.87,34.15
27,8,90.85,34.15
27,8,90.85,34.15
27,8,90.87,34.15
27,8,90.88,34.15
27,8,90.9,34.15
27,8,90.92,34.15
27,8,90.93,34.15
27,8,90.95,34.16
27,8,90.98,34.16
27,8,91.02,34.16
27,8,91.03,34.16
27,8,91.07,34.16
27,8,91.1,34.16
27,8,91.12,34.16
27,8,91.13,34.16
27,8,91.15,34.15
27,8,91.17,34.15
27,8,91.17,34.15
27,8,91.15,34.15
27,8,91.13,34.16
27,8,91.1,34.16
27,8,91.05,34.16
27,8,91,34.16
27,8,90.93,34.16
27,8,90.87,34.16
27,8,90.8,34.16
27,8,90.77,34.16
27,8,90.73,34.15
27,8,90.73,34.15
27,8,90.77,34.15
27,8,90.83,34.15
27,8,90.92,34.16
27,8,91.02,34.16
27,8,91.12,34.16
27,8,91.2,34.16
27,8,91.28,34.18
27,8,91.33,34.18
27,8,91.37,34.18
27,8,91.38,34.18
27,8,91.38,34.16
27,8,91.38,34.16
27,8,91.38,34.16
27,8,91.38,34.16
27,8,91.37,34.15
27,8,91.35,34.15
27,8,91.33,34.15
27,8,91.32,34.15
27,8,91.3,34.16
27,8,91.3,34.16
27,8,91.3,34.16
27,8,91.3,34.16
27,8,91.3,34.15
27,8,91.32,34.15
27,8,91.32,34.15
27,8,91.33,34.15
27,8,91.32,34.16
27,8,91.32,34.16
27,8,91.3,34.16
27,8,91.28,34.16
27,8,91.27,34.16
27,8,91.25,34.16
27,8,91.22,34.16
27,8,91.2,34.16
27,8,91.18,34.15
27,8,91.18,34.15
27,8,91.18,34.15
27,8,91.18,34.15
27,8,91.18,34.15
27,8,91.17,34.15
27,8,91.13,34.15
27,8,91.1,34.15
27,8,91.05,34.16
27,8,91,34.16
27,8,90.97,34.16
27,8,90.93,34.16
27,8,90.9,34.15
27,8,90.87,34.15
27,8,90.85,34.15
27,8,90.83,34.15
27,8,90.82,34.15
27,8,90.82,34.15
27,8,90.82,34.15
27,8,90.82,34.15
27,8,90.85,34.16
27,8,90.88,34.16
27,8,90.92,34.16
27,8,90.93,34.16
27,8,90.95,34.18
27,8,90.95,34.18
27,8,90.93,34.18
27,8,90.9,34.18
27,8,90.85,34.18
27,8,90.8,34.18
27,8,90.75,34.18
27,8,90.72,34.18
27,8,90.68,34.16
27,8,90.67,34.16
27,8,90.65,34.16
27,8,90.65,34.16
27,8,90.65,34.15
27,8,90.65,34.15
27,8,90.65,34.15
27,8,90.65,34.15
27,8,90.65,34.16
27,8,90.65,34.16
27,8,90.65,34.16
27,8,90.65,34.16
27,8,90.65,34.16
27,8,90.63,34.16
27,8,90.65,34.16
27,8,90.67,34.16
27,8,90.68,34.18
27,8,90.7,34.18
27,8,90.72,34.18
27,8,90.72,34.18
27,8,90.73,34.18
27,8,90.73,34.18
27,8,90.75,34.18
27,8,90.75,34.18
27,8,90.75,34.18
27,8,90.75,34.18
27,8,90.75,34.18
27,8,90.73,34.18
27,8,90.72,34.16
27,8,90.68,34.16
27,8,90.67,34.16
27,8,90.65,34.16
27,8,90.65,34.18
27,8,90.67,34.18
27,8,90.7,34.18
27,8,90.73,34.18
27,8,90.78,34.16
27,8,90.83,34.16
27,8,90.88,34.16
27,8,90.92,34.16
27,8,90.95,34.16
27,8,90.95,34.16
27,8,90.93,34.16
27,8,90.92,34.16
27,8,90.87,34.18
27,8,90.82,34.18
27,8,90.77,34.18
27,8,90.72,34.18
27,8,90.65,34.18
27,8,90.58,34.18
27,8,90.52,34.18
27,8,90.43,34.18
27,8,90.35,34.18
27,8,90.27,34.18
27,8,90.2,34.18
27,8,90.13,34.18
27,8,90.08,34.15
27,8,90.03,34.15
27,8,90,34.15
27,8,89.97,34.15
27,8,89.95,34.16
27,8,89.93,34.16
27,8,89.92,34.16
27,8,89.92,34.16
27,8,89.92,34.18
27,8,89.92,34.18
27,8,89.92,34.18
27,8,89.92,34.18
27,8,89.92,34.16
27,8,89.92,34.16
27,8,89.92,34.16
27,8,89.9,34.16
27,8,89.9,34.16
27,8,89.88,34.16
27,8,89.87,34.16
27,8,89.85,34.16
27,8,89.83,34.16
27,8,89.82,34.16
27,8,89.8,34.16
27,8,89.8,34.16
27,8,89.8,34.16
27,8,89.8,34.16
27,8,89.8,34.16
27,8,89.8,34.16
27,8,89.8,34.18
27,8,89.78,34.18
27,8,89.77,34.18
27,8,89.75,34.18
27,8,89.73,34.16
27,8,89.72,34.16
27,8,89.68,34.16
27,8,89.67,34.16
27,8,89.62,34.16
27,8,89.57,34.16
27,8,89.52,34.16
27,8,89.47,34.16
27,8,89.4,34.16
27,8,89.33,34.16
27,8,89.27,34.16
27,8,89.22,34.16
27,8,89.17,34.18
27,8,89.15,34.18
27,8,89.15,34.18
27,8,89.15,34.18
27,8,89.18,34.16
27,8,89.22,34.16
27,8,89.25,34.16
27,8,89.28,34.16
27,8,89.32,34.18
27,8,89.35,34.18
27,8,89.38,34.18
27,8,89.43,34.18
27,8,89.48,34.16
27,8,89.53,34.16
27,8,89.58,34.16
27,8,89.63,34.16
27,8,89.68,34.18
27,8,89.73,34.18
27,8,89.77,34.18
27,8,89.8,34.18
27,8,89.82,34.16
27,8,89.83,34.16
27,8,89.85,34.16
27,8,89.85,34.16
27,8,89.85,34.16
27,8,89.85,34.16
27,8,89.85,34.16
27,8,89.85,34.16
27,8,89.85,34.15
27,8,89.85,34.15
27,8,89.85,34.15
27,8,89.87,34.15
27,8,89.87,34.15
27,8,89.88,34.15
27,8,89.88,34.15
27,8,89.88,34.15
27,8,89.88,34.16
27,8,89.9,34.16
27,8,89.92,34.16
27,8,89.93,34.16
27,8,89.95,34.16
27,8,89.97,34.16
27,8,89.97,34.16
27,8,89.97,34.16
27,8,89.97,34.18
27,8,89.98,34.18
27,8,90,34.18
