DIA,MES,HR,TEMP
4,12,89,34.47
4,12,87.5,34.47
4,12,89.2,34.47
4,12,84.17,34.47
4,12,85.71,34.47
4,12,86.62,34.47
4,12,87.33,34.45
4,12,87.8,34.45
4,12,88.09,34.45
4,12,88.33,34.45
4,12,88.46,34.43
4,12,88.5,34.43
4,12,88.53,34.43
4,12,88.62,34.43
4,12,88.71,34.45
4,12,88.83,34.45
4,12,88.95,34.45
4,12,89.05,34.45
4,12,89.57,34.43
4,12,89.95,34.43
4,12,90.26,34.43
4,12,90.54,34.43
4,12,90.8,34.45
4,12,91.04,34.45
4,12,91.26,34.45
4,12,91.5,34.45
4,12,91.72,34.45
4,12,91.93,34.45
4,12,92.19,34.45
4,12,92.44,34.45
4,12,92.79,34.45
4,12,93.15,34.45
4,12,93.49,34.45
4,12,93.81,34.45
4,12,94.05,34.45
4,12,94.42,34.45
4,12,94.72,34.45
4,12,95.18,34.45
4,12,95.8,34.45
4,12,96.38,34.45
4,12,96.95,34.45
4,12,97.48,34.45
4,12,97.98,34.45
4,12,98.46,34.45
4,12,98.91,34.45
4,12,99.29,34.45
4,12,99.71,34.43
4,12,99.9,34.43
4,12,100.02,34.43
4,12,100.12,34.43
4,12,100.26,34.45
4,12,100.35,34.45
4,12,100.16,34.45
4,12,99.96,34.45
4,12,99.79,34.43
4,12,99.57,34.43
4,12,99.34,34.43
4,12,99.12,34.43
4,12,99.03,34.43
4,12,99.1,34.43
4,12,99.1,34.43
4,12,99.23,34.43
4,12,99.15,34.43
4,12,99.67,34.43
4,12,99.57,34.43
4,12,99.38,34.43
4,12,99.27,34.41
4,12,99.17,34.41
4,12,99.13,34.41
4,12,99.1,34.41
4,12,99.1,34.43
4,12,99.12,34.43
4,12,99.15,34.43
4,12,99.17,34.43
4,12,99.17,34.43
4,12,99.15,34.43
4,12,99.13,34.43
4,12,99.12,34.43
4,12,98.95,34.43
4,12,98.83,34.43
4,12,98.75,34.43
4,12,98.7,34.43
4,12,98.68,34.43
4,12,98.7,34.43
4,12,98.73,34.43
4,12,98.75,34.43
4,12,98.75,34.43
4,12,98.75,34.43
4,12,98.7,34.43
4,12,98.63,34.43
4,12,98.48,34.43
4,12,98.32,34.43
4,12,98.15,34.43
4,12,97.97,34.43
4,12,97.82,34.45
4,12,97.57,34.45
