DIA,MES,HR,TEMP
9,11,97.33,32.05
9,11,96.75,32.05
9,11,96.2,32.05
9,11,91.17,32.05
9,11,89.14,32.05
9,11,87.88,32.05
9,11,86.78,31.99
9,11,85.8,31.99
9,11,85.27,31.99
9,11,84.42,31.99
9,11,83.69,31.99
9,11,83.07,31.99
9,11,82.4,31.99
9,11,81.69,31.99
9,11,81,31.95
9,11,80.39,31.95
9,11,79.95,31.95
9,11,79.55,31.95
9,11,79.19,31.99
9,11,78.86,31.99
9,11,78.57,31.99
9,11,78.38,31.99
9,11,78.24,32
9,11,78.31,32
9,11,78.3,32
9,11,78.29,32
9,11,78.24,31.97
9,11,78,31.97
9,11,77.77,31.97
9,11,77.53,31.97
9,11,77.27,31.95
9,11,77.09,31.95
9,11,76.89,31.95
9,11,76.67,31.95
9,11,76.43,31.93
9,11,76.18,31.93
9,11,75.92,31.93
9,11,75.62,31.93
9,11,75.46,31.89
9,11,75.26,31.89
9,11,75.19,31.89
9,11,75.05,31.89
9,11,74.87,31.91
9,11,74.87,31.91
9,11,74.85,31.91
9,11,74.81,31.91
9,11,74.78,31.89
9,11,74.8,31.89
9,11,74.8,31.89
9,11,74.81,31.89
9,11,74.79,31.89
9,11,74.72,31.89
9,11,74.64,31.89
9,11,74.55,31.89
9,11,74.58,31.89
9,11,74.59,31.89
9,11,74.59,31.89
9,11,74.6,31.89
9,11,74.58,31.91
9,11,74.05,31.91
9,11,73.55,31.91
9,11,73.22,31.91
9,11,72.92,31.89
9,11,73.07,31.89
9,11,73.03,31.89
9,11,72.98,31.89
9,11,72.95,31.89
9,11,72.93,31.89
9,11,72.95,31.89
9,11,73.07,31.89
9,11,73.15,31.89
9,11,73.22,31.89
9,11,73.35,31.89
9,11,73.48,31.89
9,11,73.62,31.89
9,11,73.77,31.89
9,11,73.9,31.89
9,11,74.07,31.89
9,11,74.22,31.87
9,11,74.37,31.87
9,11,74.48,31.87
9,11,74.47,31.87
9,11,74.47,31.87
9,11,74.37,31.87
9,11,74.3,31.87
9,11,74.23,31.87
9,11,74.18,31.87
9,11,74.25,31.87
9,11,74.3,31.87
9,11,74.37,31.87
9,11,74.47,31.85
9,11,74.52,31.85
9,11,74.6,31.85
9,11,74.68,31.85
9,11,74.95,31.85
9,11,75.23,31.85
9,11,75.53,31.85
9,11,75.87,31.85
9,11,76.12,31.85
9,11,76.38,31.85
9,11,76.58,31.85
9,11,76.83,31.85
9,11,77.12,31.87
9,11,77.33,31.87
9,11,77.48,31.87
9,11,77.65,31.87
9,11,77.85,31.85
9,11,77.93,31.85
9,11,78,31.85
9,11,78.15,31.85
9,11,78.32,31.87
9,11,78.53,31.87
9,11,78.77,31.87
9,11,79,31.87
9,11,78.98,31.85
9,11,78.98,31.85
9,11,78.88,31.85
9,11,78.82,31.85
9,11,78.72,31.83
9,11,78.52,31.83
9,11,78.42,31.83
9,11,78.8,31.83
9,11,79.17,31.83
9,11,79.55,31.83
9,11,79.92,31.83
9,11,80.27,31.83
9,11,80.57,31.83
9,11,80.85,31.83
9,11,81.13,31.83
9,11,81.4,31.83
9,11,81.95,31.83
9,11,82.47,31.83
9,11,83.03,31.83
9,11,83.63,31.83
9,11,84.28,31.83
9,11,84.9,31.83
9,11,85.48,31.83
9,11,86.08,31.83
9,11,86.75,31.83
9,11,87.38,31.83
9,11,88.03,31.83
9,11,88.8,31.83
9,11,89.7,31.77
9,11,90.6,31.77
9,11,91.5,31.77
9,11,92.38,31.77
9,11,93.22,31.77
9,11,94.07,31.77
9,11,94.92,31.77
9,11,95.75,31.77
9,11,96.57,31.79
9,11,97.37,31.79
9,11,98.17,31.79
9,11,98.95,31.79
9,11,99.57,31.75
9,11,100.17,31.75
9,11,100.77,31.75
9,11,101.4,31.75
9,11,101.7,31.75
9,11,101.82,31.75
9,11,101.3,31.75
9,11,100.82,31.75
9,11,100.28,31.77
9,11,99.65,31.77
9,11,99.1,31.77
9,11,98.52,31.77
9,11,97.95,31.75
9,11,97.4,31.75
9,11,96.92,31.75
9,11,96.38,31.75
9,11,95.8,31.79
9,11,95.25,31.79
9,11,94.67,31.79
9,11,94.28,31.79
9,11,94.07,31.73
9,11,93.85,31.73
9,11,93.8,31.73
9,11,93.65,31.73
9,11,93.58,31.77
9,11,93.77,31.77
9,11,93.87,31.77
9,11,93.47,31.77
9,11,93.05,31.83
9,11,92.67,31.83
9,11,92.32,31.83
9,11,91.98,31.83
9,11,91.72,31.87
9,11,91.48,31.87
9,11,91.18,31.87
9,11,90.88,31.87
9,11,90.33,31.83
9,11,89.8,31.83
9,11,89.02,31.83
9,11,88.22,31.83
9,11,87.37,31.83
9,11,86.55,31.83
9,11,85.75,31.83
9,11,84.92,31.83
9,11,84.03,31.81
9,11,83.17,31.81
9,11,82.33,31.81
9,11,81.47,31.81
9,11,80.5,31.79
9,11,79.6,31.79
9,11,78.7,31.79
9,11,77.83,31.79
9,11,77.02,31.75
9,11,76.18,31.75
9,11,75.38,31.75
9,11,74.63,31.75
9,11,74,31.77
9,11,73.35,31.77
9,11,72.68,31.77
9,11,72.03,31.77
9,11,71.37,31.75
9,11,70.72,31.75
9,11,70.07,31.75
9,11,69.37,31.75
9,11,69,31.77
9,11,68.78,31.77
9,11,69.18,31.77
9,11,69.5,31.77
9,11,69.87,31.77
9,11,70.25,31.77
9,11,70.63,31.77
9,11,71.05,31.77
9,11,71.43,31.77
9,11,71.77,31.77
9,11,72.07,31.77
9,11,72.33,31.77
9,11,72.68,31.77
9,11,73.18,31.77
9,11,73.77,31.77
9,11,74.2,31.77
9,11,74.62,31.75
9,11,75.03,31.75
9,11,75.4,31.75
9,11,75.87,31.75
9,11,76.33,31.77
9,11,76.72,31.77
9,11,77.08,31.77
9,11,77.43,31.77
9,11,77.88,31.77
9,11,78.3,31.77
9,11,78.7,31.77
9,11,79.07,31.77
9,11,79.4,31.77
9,11,79.72,31.77
9,11,80,31.77
9,11,80.22,31.77
9,11,80.45,31.79
9,11,80.72,31.79
9,11,81.13,31.79
9,11,81.55,31.79
9,11,81.98,31.81
