id_estacion,clave_estacion,nombre_estacion,delegacion_municipio,entidad,estatus,domicilio,latitud,longitud,altitud,validado
1,ACO,Acolman,Acolman,Estado de México,ACTIVA,"Calzada de los Agustinos s/n, Col. Centro, C.P. 55870",19.635501,-98.912003,2198 msnm,1
2,AJU,Ajusco,Tlalpan,CDMX,ACTIVA,"Km 36.5 Carretera Federal México-Cuernavaca, C.P. 14500",19.154674,-99.162459,2953 msnm,1
3,AJM,Ajusco Medio,Tlalpan,CDMX,ACTIVA,"Encinos # 41, col. Miguel Hidalgo 4ta sección, Tlalpan, C.P. 14250",19.2721,-99.207658,2619 msnm,1
4,ATI,Atizapán,Atizapán de Zaragoza,Estado de México,ACTIVA,"Oceano Pacífico s/n, Col. Lomas Lindas, C.P. 54947",19.576963,-99.254133,2341 msnm,1
5,BJU,Benito Juarez,Benito Juárez,CDMX,ACTIVA,"Municipio libre y Uxmal, Col. Santa Cruz Atoyac,Benito Juárez,C.P.03310",19.371612,-99.158969,2250 msnm,1
6,CAM,Camarones,Azcapotzalco,CDMX,ACTIVA,"Malvón No. 20, Col. Hogar y seguridad, C.P. 02820",19.468404,-99.169794,2233 msnm,1
7,CCA,Centro de Ciencias de la Atmósfera,Coyoacán,CDMX,ACTIVA,"Universidad Nacional Autónoma de México, Circuito Exterior s/n, Ciudad Universitaria, Coyoacán, C.P. 04510",19.3262,-99.1761,2280 msnm,1
8,TEC,Cerro del Tepeyac,Gustavo A. Madero,CDMX,ACTIVA,"Av. Hidalgo y Av. Cantera s/n, Col. Estansuela, C.P. 07060",19.487227,-99.114229,2265 msnm,1
9,CHO,Chalco,Chalco,Estado de México,ACTIVA,"Insurgentes s/n, Col. Casco de San Juan, C.P. 56600",19.266948,-98.886088,2253 msnm,1
10,COR,CORENA,Xochimilco,CDMX,ACTIVA,"Av. Año de Juárez N° 9700, Col. Quirino Mendoza, Pueblo de San Luis Tlaxialtemalco, C.P. 16610",19.265346,-99.02604,2242 msnm,1
11,COY,Coyoacán,Coyoacán,CDMX,ACTIVA,"Av. Hidalgo No. 62, Col. Del Carmen Coyoacán, C.P. 04000",19.350258,-99.157101,2260 msnm,1
12,CUA,Cuajimalpa,Cuajimalpa de Morelos,CDMX,ACTIVA,"Monte Encino No. 14, Col. Jesús del Monte, C.P. 05260",19.365313,-99.291705,2704 msnm,1
13,CUT,Cuautitlán,Tepotzotlán,Estado de México,ACTIVA,"Carretera Circunvalación s/n, Col. El Trebol, C.P. 54600",19.722186,-99.198602,2263 msnm,1
14,DIC,Diconsa,Tlalpan,CDMX,ACTIVA,"Insurgentes Sur No. 3483, Col. Villa Olimpica Miguel Hidalgo, C.P. 14020",19.298819,-99.185774,2305 msnm,1
15,EAJ,Ecoguardas Ajusco,Tlalpan,CDMX,ACTIVA,"Carretera Picacho-Ajusco km. 5.5, Col. Ampliación Miguel Hidalgo, C.P. 14250",19.271222,-99.203971,2584 msnm,1
16,EDL,Ex Convento Desierto de los Leones,Cuajimalpa de Morelos,CDMX,ACTIVA,"Camino al Desierto de los Leones s/n, Col. La Venta, C.P. 05520",19.313357,-99.310635,2980 msnm,1
17,FAC,FES Acatlán,Naucalpan de Juárez,Estado de México,ACTIVA,"Av. Alcanfores y San Juan Totoltepec s/n, Col. Santa Cruz Acatlán, C.P. 53150",19.482473,-99.243524,2299 msnm,1
18,GAM,Gustavo A. Madero,Gustavo A. Madero,CDMX,ACTIVA,"Av. Ing. Eduardo Molina No. 1577, Col. Salvador Diaz Miron, C.P. 07400",19.4827,-99.094517,2227 msnm,1
19,HGM,Hospital General de México,Cuauhtémoc,CDMX,ACTIVA,"Calle Sur 128 No. 53, Col. América, Miguel Hidalgo, C.P. 11820",19.40405,-99.202603,2366 msnm,1
20,INN,Investigaciones Nucleares,Ocoyoacac,Estado de México,ACTIVA,"Carretera México-Toluca s/n, La Marquesa, Ocoyoacac, C.P. 52750",19.291968,-99.38052,3082 msnm,1
21,IZT,Iztacalco,Iztacalco,CDMX,ACTIVA,"Guillermo Prieto y Melchor Ocampo No. 73, Col. Campamento 2 de octubre, C.P. 08930",19.384413,-99.117641,2238 msnm,1
22,LPR,La Presa,Tlalnepantla de Baz,Estado de México,ACTIVA,"Asociación Mexicana de Excursionistas del D.F. s/n, Col. La Presa, C.P. 54189",19.534727,-99.11772,2302 msnm,1
23,LAA,Laboratorio de Análisis Ambiental,Gustavo A. Madero,CDMX,ACTIVA,"Av. Sur de los Cien Metros s/n, Col. Nueva Vallejo, C.P. 07750",19.483781,-99.147312,2255 msnm,1
24,IBM,Legaria,Miguel Hidalgo,CDMX,ACTIVA,"Calz. Legaria No. 853, Col. Irrigación, C.P. 11500",19.443319,-99.21536,2314 msnm,1
25,LOM,Lomas,Miguel Hidalgo,CDMX,ACTIVA,"Ciruelo No. 99, Col. Bosques de las Lomas, C.P. 11700",19.403,-99.242062,2434 msnm,1
26,LLA,Los Laureles,Ecatepec de Morelos,Estado de México,ACTIVA,"Río Piedad esq. Ponce s/n, Col. Fracc. Río Piedras, C.P. 55090",19.578792,-99.039644,2230 msnm,1
27,MER,Merced,Venustiano Carranza,CDMX,ACTIVA,"Congreso de la Unión esq. Stan de Tiro s/n, Col. Merced Balbuena, C.P. 15860",19.42461,-99.119594,2245 msnm,1
28,MGH,Miguel Hidalgo,Miguel Hidalgo,CDMX,ACTIVA,"Calle Sur 128 No. 53, Col. América, Miguel Hidalgo, C.P. 11820",19.40405,-99.202603,2366 msnm,1
29,MPA,Milpa Alta,Milpa Alta,CDMX,ACTIVA,"Blvd. Nuevo León No. 386, Col. Villa Milpa Alta, C.P. 12000",19.1769,-98.990189,2594 msnm,1
30,MON,Montecillo,Texcoco,Estado de México,ACTIVA,"Km. 36,5 carretera México - Texcoco, Col. Montecillo, C.P. 56230",19.460415,-98.902853,2252 msnm,1
31,MCM,Museo de la Ciudad de México,Cuauhtémoc,CDMX,ACTIVA,"Pino Suárez No. 30, Col. Centro, C.P. 06000",19.429071,-99.131924,2237 msnm,1
32,NEZ,Nezahualcóyotl,Nezahualcóyotl,Estado de México,ACTIVA,"Av. Ángel de la Independencia s/n, Col. Metropolitana 2a sección, C.P. 57740",19.393734,-99.028212,2235 msnm,1
33,PED,Pedregal,Álvaro Obregón,CDMX,ACTIVA,"Cañada No. 370, Col. Jardines del Pedregal, C.P. 01900",19.325146,-99.204136,2326 msnm,1
34,SAG,San Agustín,Ecatepec de Morelos,Estado de México,ACTIVA,"Av. Santa Rita y Sur 92, Col. San Agustín 3a sección, C.P. 55130",19.532968,-99.030324,2241 msnm,1
35,SJA,San Juan de Aragón,Gustavo A. Madero,CDMX,ACTIVA,"Av. 504 y 506 s/n 2a sección, Col. Unidad San Juan de Aragón, C.P. 07920",19.452592,-99.086095,2258 msnm,1
36,SNT,San Nicolás Totolapan,La Magdalena Contreras,CDMX,ACTIVA,"Km. 11.5 carretera Picacho-Ajusco, C.P. 10900",19.250385,-99.256462,2946 msnm,1
37,SFE,Santa Fe,Cuajimalpa de Morelos,CDMX,ACTIVA,"Av. Carlos Lazo s/n, entre Tamaulipas y Sta. Fe, Col. Prados de la Montaña, C.P. 05619",19.357357,-99.262865,2599 msnm,1
38,SHA,Secretaría de Hacienda,Miguel Hidalgo,CDMX,ACTIVA,"Calz. Legaria No. 608, Col. Irrigación, C.P. 11500",19.446203,-99.207868,2272 msnm,1
39,TAH,Tláhuac,Xochimilco,CDMX,ACTIVA,"Escudo Nacional s/n, Col Nativitas, C.P. 16790",19.246459,-99.010564,2297 msnm,1
40,TLA,Tlalnepantla,Tlalnepantla de Baz,Estado de México,ACTIVA,"Glorieta Atlacomulco s/n, Col. Tlalnemex, C.P. 54070",19.529077,-99.204597,2311 msnm,1
41,TLI,Tultitlán,Tultitlán,Estado de México,ACTIVA,"Blvd. Lomas de Cartagena s/n, Col. Lomas de Cartagena, C.P. 54943",19.602542,-99.177173,2313 msnm,1
42,UIZ,UAM Iztapalapa,Iztapalapa,CDMX,ACTIVA,"San Rafael Atlixco No. 180, Col. Vicentina, C.P. 09340",19.360794,-99.07388,2221 msnm,1
43,UAX,UAM Xochimilco,Coyoacán,CDMX,ACTIVA,"Calz.del Hueso 1100, Col. Villa Quietud, C.P. 04960",19.304441,-99.103629,2246 msnm,1
44,VIF,Villa de las Flores,Coacalco de Berriozábal,Estado de México,ACTIVA,"Primavera y Palmacristi s/n, Col. Villa de las Flores, C.P. 55710",19.658223,-99.09659,2242 msnm,1
