LATITUD,LONGITUD,SO2,NO2,RH,CO,NO,NOX,O3,PM10,PM25,PA,UVA,UVB,TEMP
19.096732,-99.491117,INN,INN,HGM,TLA,INN,INN,INN,INN,INN,INN,SFE,SFE,INN
19.422301,-99.172836,HGM,HGM,FAC,MGH,HGM,HGM,HGM,HGM,HGM,HGM,MER,MER,HGM
19.620529,-98.991175,ACO,ACO,ACO,ACO,ACO,ACO,ACO,LLA,SAG,XAL,SAG,SAG,ACO
19.45949,-99.018752,SJA,SJA,MGH,NEZ,SJA,SJA,SJA,SAG,SJA,XAL,SAG,SAG,NEZ
19.663831,-99.360113,ATI,ATI,CHO,FAC,ATI,ATI,ATI,ATI,CUT,CUT,CUT,CUT,CUT
19.285083,-98.827479,CHO,CHO,CAM,CHO,CHO,CHO,CHO,CHO,MPA,MPA,CHO,CHO,CHO
19.219715,-98.837485,CHO,CHO,CAM,CHO,CHO,CHO,CHO,CHO,MPA,MPA,CHO,CHO,CHO
19.305139,-99.487656,INN,INN,HGM,INN,INN,INN,INN,INN,INN,INN,SFE,SFE,INN
19.37425,-99.067887,UIZ,UIZ,SJA,UAX,UIZ,UIZ,UIZ,UIZ,UIZ,MER,MER,MER,UIZ
19.34621,-98.950698,NEZ,NEZ,MGH,TAH,NEZ,NEZ,NEZ,CHO,NEZ,MON,CHO,CHO,NEZ
19.355381,-98.859936,CHO,CHO,CAM,CHO,CHO,CHO,CHO,CHO,MON,MON,CHO,CHO,CHO
19.642584,-99.259382,ATI,ATI,CHO,ATI,ATI,ATI,ATI,ATI,CUT,CUT,CUT,CUT,CUT
19.665687,-99.168978,CUT,CUT,CHO,XAL,CUT,CUT,CUT,CUT,CUT,CUT,CUT,CUT,CUT
19.763295,-98.975735,ACO,ACO,ACO,ACO,ACO,ACO,ACO,ACO,CUT,CUT,CUT,CUT,ACO
19.270809,-99.008785,TAH,TAH,PED,SAG,TAH,TAH,TAH,TAH,MPA,MPA,MPA,MPA,TAH
19.69974,-99.455438,ATI,ATI,CHO,FAC,ATI,ATI,ATI,ATI,CUT,CUT,CUT,CUT,CUT
19.35411,-98.845271,CHO,CHO,CAM,CHO,CHO,CHO,CHO,CHO,MON,MON,CHO,CHO,CHO
19.453159,-99.43144,CUA,CUA,CCA,INN,CUA,CUA,CUA,CUA,CUA,INN,FAC,FAC,CUA
19.341382,-98.793163,CHO,CHO,CAM,CHO,CHO,CHO,CHO,CHO,MON,MON,CHO,CHO,CHO
19.279019,-98.885309,CHO,CHO,CAM,CHO,CHO,CHO,CHO,CHO,MPA,MPA,CHO,CHO,CHO
19.82505,-99.363521,CUT,CUT,CHO,FAC,CUT,CUT,CUT,CUT,CUT,CUT,CUT,CUT,CUT
19.10167,-98.996413,MPA,MPA,LLA,MON,MPA,MPA,MPA,MPA,MPA,MPA,MPA,MPA,MPA
19.314618,-99.06933,UAX,UAX,SFE,VIF,UAX,UAX,UAX,UIZ,UAX,MER,MER,MER,UAX
19.214103,-99.4089,INN,INN,HGM,TLA,INN,INN,INN,INN,INN,INN,SFE,SFE,INN
19.394292,-99.299784,CUA,CUA,CCA,SFE,CUA,CUA,CUA,CUA,CUA,INN,SFE,SFE,CUA
19.385444,-99.081909,UIZ,UIZ,SJA,UAX,UIZ,UIZ,UIZ,UIZ,UIZ,MER,MER,MER,UIZ
19.500602,-99.25912,FAC,FAC,CUA,LLA,FAC,FAC,FAC,FAC,FAC,TLA,FAC,FAC,FAC
19.513798,-99.453165,ATI,ATI,CUA,INN,ATI,ATI,ATI,ATI,FAC,INN,FAC,FAC,FAC
19.103752,-98.892734,MPA,MPA,LLA,MON,MPA,MPA,MPA,MPA,MPA,MPA,MPA,MPA,MPA
19.342106,-98.790346,CHO,CHO,CAM,CHO,CHO,CHO,CHO,CHO,MON,MON,CHO,CHO,CHO
19.655808,-99.055875,VIF,VIF,TAH,XAL,VIF,VIF,VIF,VIF,SAG,XAL,SAG,SAG,VIF
19.600136,-98.815652,ACO,ACO,ACO,ACO,ACO,ACO,ACO,ACO,MON,MON,MON,MON,ACO
19.558569,-99.391907,ATI,ATI,CUA,ATI,ATI,ATI,ATI,ATI,FAC,TLA,FAC,FAC,FAC
19.365762,-99.358457,CUA,CUA,CCA,INN,CUA,CUA,CUA,CUA,CUA,INN,SFE,SFE,CUA
19.224094,-99.025184,TAH,TAH,PED,SAG,TAH,TAH,TAH,TAH,MPA,MPA,MPA,MPA,TAH
19.161306,-99.054408,MPA,MPA,LLA,IZT,MPA,MPA,MPA,MPA,MPA,MPA,MPA,MPA,MPA
19.336762,-98.850803,CHO,CHO,CAM,CHO,CHO,CHO,CHO,CHO,MON,MON,CHO,CHO,CHO
19.748928,-99.223551,CUT,CUT,CHO,FAC,CUT,CUT,CUT,CUT,CUT,CUT,CUT,CUT,CUT
19.759822,-99.22886,CUT,CUT,CHO,FAC,CUT,CUT,CUT,CUT,CUT,CUT,CUT,CUT,CUT
19.128704,-98.831059,CHO,CHO,CAM,MON,CHO,CHO,CHO,CHO,MPA,MPA,CHO,CHO,CHO
19.664255,-98.82333,ACO,ACO,ACO,ACO,ACO,ACO,ACO,ACO,MON,MON,MON,MON,ACO
19.339468,-99.251572,SFE,SFE,NEZ,CUT,SFE,SFE,SFE,SFE,SFE,AJM,SFE,SFE,SFE
19.503522,-99.195618,TLA,TLA,SAG,TLI,TLA,TLA,TLA,TLA,TLA,TLA,TLA,TLA,TLA
19.528048,-98.8263,MON,MON,MER,ACO,MON,MON,MON,ACO,MON,MON,MON,MON,MON
19.360877,-98.821648,CHO,CHO,CAM,CHO,CHO,CHO,CHO,CHO,MON,MON,CHO,CHO,CHO
19.50658,-99.040993,SAG,SAG,MON,NEZ,SAG,SAG,SAG,SAG,SAG,XAL,SAG,SAG,SAG
19.298608,-99.349046,INN,INN,HGM,INN,INN,INN,INN,INN,INN,INN,SFE,SFE,INN
19.303162,-99.460204,INN,INN,HGM,INN,INN,INN,INN,INN,INN,INN,SFE,SFE,INN
19.247079,-98.78783,CHO,CHO,CAM,CHO,CHO,CHO,CHO,CHO,MPA,MPA,CHO,CHO,CHO
19.20247,-99.289782,AJM,AJM,ATI,TLA,AJM,AJM,AJM,AJM,AJM,AJM,PED,PED,AJM
19.471613,-98.93407,MON,MON,MER,MPA,MON,MON,MON,SAG,MON,MON,MON,MON,MON
19.703643,-98.862762,ACO,ACO,ACO,ACO,ACO,ACO,ACO,ACO,SAG,MON,SAG,SAG,ACO
19.193203,-99.306431,INN,INN,HGM,TLA,INN,INN,INN,INN,INN,INN,PED,PED,INN
19.5146,-98.812136,MON,MON,MER,ACO,MON,MON,MON,ACO,MON,MON,MON,MON,MON
19.670527,-98.92738,ACO,ACO,ACO,ACO,ACO,ACO,ACO,ACO,SAG,XAL,SAG,SAG,ACO
19.57023,-99.386839,ATI,ATI,CUA,ATI,ATI,ATI,ATI,ATI,FAC,TLA,FAC,FAC,FAC
19.404692,-99.407469,INN,INN,HGM,INN,INN,INN,INN,INN,INN,INN,SFE,SFE,INN
19.098666,-99.174001,AJM,AJM,AJM,TLA,AJM,AJM,AJU,AJM,AJU,AJM,MPA,MPA,AJU
19.484872,-99.191249,CAM,CAM,INN,CAM,CAM,CAM,CAM,CAM,CAM,LAA,LAA,LAA,LAA
19.734029,-99.317346,CUT,CUT,CHO,FAC,CUT,CUT,CUT,CUT,CUT,CUT,CUT,CUT,CUT
19.509265,-99.481459,ATI,ATI,CUA,INN,ATI,ATI,ATI,ATI,FAC,INN,FAC,FAC,FAC
19.850549,-99.479579,CUT,CUT,CHO,FAC,CUT,CUT,CUT,CUT,CUT,CUT,CUT,CUT,CUT
19.733721,-99.201952,CUT,CUT,CHO,FAC,CUT,CUT,CUT,CUT,CUT,CUT,CUT,CUT,CUT
19.802664,-99.038033,VIF,VIF,TAH,XAL,VIF,VIF,VIF,VIF,CUT,CUT,CUT,CUT,VIF
19.375758,-98.869209,MON,MON,MER,CHO,MON,MON,MON,CHO,MON,MON,MON,MON,MON
19.263866,-99.122261,UAX,UAX,SFE,IZT,UAX,UAX,UAX,AJM,UAX,AJM,PED,PED,UAX
19.273969,-98.9239,CHO,CHO,CAM,CHO,CHO,CHO,CHO,CHO,MPA,MPA,CHO,CHO,CHO
19.725811,-99.422459,CUT,CUT,CHO,FAC,CUT,CUT,CUT,CUT,CUT,CUT,CUT,CUT,CUT
19.563153,-99.370442,ATI,ATI,CUA,ATI,ATI,ATI,ATI,ATI,FAC,TLA,FAC,FAC,FAC
19.113838,-98.775756,CHO,CHO,CAM,MON,CHO,CHO,CHO,CHO,MPA,MPA,CHO,CHO,CHO
19.476749,-99.317493,FAC,FAC,CUA,SFE,FAC,FAC,FAC,FAC,FAC,TLA,FAC,FAC,FAC
19.345542,-98.833755,CHO,CHO,CAM,CHO,CHO,CHO,CHO,CHO,MON,MON,CHO,CHO,CHO
19.745548,-99.421625,CUT,CUT,CHO,FAC,CUT,CUT,CUT,CUT,CUT,CUT,CUT,CUT,CUT
19.637533,-98.870226,ACO,ACO,ACO,ACO,ACO,ACO,ACO,ACO,MON,MON,MON,MON,ACO
19.604357,-99.481047,ATI,ATI,CUA,INN,ATI,ATI,ATI,ATI,FAC,TLA,FAC,FAC,FAC
19.768323,-98.902656,ACO,ACO,ACO,ACO,ACO,ACO,ACO,ACO,SAG,CUT,SAG,SAG,ACO
19.124629,-98.809689,CHO,CHO,CAM,MON,CHO,CHO,CHO,CHO,MPA,MPA,CHO,CHO,CHO
19.82915,-99.368581,CUT,CUT,CHO,FAC,CUT,CUT,CUT,CUT,CUT,CUT,CUT,CUT,CUT
19.704777,-99.477829,ATI,ATI,CHO,FAC,ATI,ATI,ATI,ATI,CUT,CUT,CUT,CUT,CUT
19.621771,-98.927386,ACO,ACO,ACO,ACO,ACO,ACO,ACO,ACO,SAG,MON,SAG,SAG,ACO
19.204279,-99.383191,INN,INN,HGM,TLA,INN,INN,INN,INN,INN,INN,SFE,SFE,INN
19.819725,-98.814896,ACO,ACO,ACO,ACO,ACO,ACO,ACO,ACO,SAG,MON,SAG,SAG,ACO
19.391678,-98.860733,MON,MON,MER,MPA,MON,MON,MON,CHO,MON,MON,MON,MON,MON
19.168227,-99.308412,AJM,AJM,AJM,TLA,AJM,AJM,AJU,AJM,AJU,AJM,PED,PED,AJU
