,LATITUD,LONGITUD,SO2,NO2,RH,CO,NO,NOX,O3,PM10,PM25,PA,UVA,UVB,TEMP
0,,,INN,INN,HGM,TLA,INN,INN,INN,INN,INN,INN,SFE,SFE,INN
1,,,HGM,HGM,FAC,MGH,HGM,HGM,HGM,HGM,HGM,HGM,MER,MER,HGM
2,,,ACO,ACO,ACO,ACO,ACO,ACO,ACO,LLA,SAG,XAL,SAG,SAG,ACO
3,,,SJA,SJA,MGH,NEZ,SJA,SJA,SJA,SAG,SJA,XAL,SAG,SAG,NEZ
4,,,ATI,ATI,CHO,FAC,ATI,ATI,ATI,ATI,CUT,CUT,CUT,CUT,CUT
5,,,CHO,CHO,CAM,CHO,CHO,CHO,CHO,CHO,MPA,MPA,CHO,CHO,CHO
6,,,CHO,CHO,CAM,CHO,CHO,CHO,CHO,CHO,MPA,MPA,CHO,CHO,CHO
7,,,INN,INN,HGM,INN,INN,INN,INN,INN,INN,INN,SFE,SFE,INN
8,,,UIZ,UIZ,SJA,UAX,UIZ,UIZ,UIZ,UIZ,UIZ,MER,MER,MER,UIZ
9,,,NEZ,NEZ,MGH,TAH,NEZ,NEZ,NEZ,CHO,NEZ,MON,CHO,CHO,NEZ
10,,,CHO,CHO,CAM,CHO,CHO,CHO,CHO,CHO,MON,MON,CHO,CHO,CHO
11,,,ATI,ATI,CHO,ATI,ATI,ATI,ATI,ATI,CUT,CUT,CUT,CUT,CUT
12,,,CUT,CUT,CHO,XAL,CUT,CUT,CUT,CUT,CUT,CUT,CUT,CUT,CUT
13,,,ACO,ACO,ACO,ACO,ACO,ACO,ACO,ACO,CUT,CUT,CUT,CUT,ACO
14,,,TAH,TAH,PED,SAG,TAH,TAH,TAH,TAH,MPA,MPA,MPA,MPA,TAH
15,,,ATI,ATI,CHO,FAC,ATI,ATI,ATI,ATI,CUT,CUT,CUT,CUT,CUT
16,,,CHO,CHO,CAM,CHO,CHO,CHO,CHO,CHO,MON,MON,CHO,CHO,CHO
17,,,CUA,CUA,CCA,INN,CUA,CUA,CUA,CUA,CUA,INN,FAC,FAC,CUA
